parameter,value,generation,quality_score,negative_share,glin_bad_share,coll_bad_share,tested_matrices
population_size,420.0,46,0.0571399168,0.0660000000,0.0337837838,0.0096153846,67301
population_size,420.0,47,0.0571399168,0.0660000000,0.0337837838,0.0096153846,67579
population_size,420.0,48,0.0571399168,0.0660000000,0.0337837838,0.0096153846,67857
population_size,420.0,49,0.0571399168,0.0660000000,0.0337837838,0.0096153846,68153
population_size,420.0,50,0.0571399168,0.0660000000,0.0337837838,0.0096153846,68452
cxpb,0.4,0,0.0739939709,0.0820000000,0.0743243243,0.0096153846,1540
cxpb,0.4,1,0.0723669439,0.0825000000,0.0540540541,0.0096153846,2423
cxpb,0.4,2,0.0683399168,0.0800000000,0.0337837838,0.0096153846,3174
cxpb,0.4,3,0.0640912682,0.0730000000,0.0472972973,0.0096153846,4017
cxpb,0.4,4,0.0636912682,0.0725000000,0.0472972973,0.0096153846,4815
cxpb,0.4,5,0.0628912682,0.0715000000,0.0472972973,0.0096153846,5671
cxpb,0.4,6,0.0615399168,0.0715000000,0.0337837838,0.0096153846,6503
cxpb,0.4,7,0.0611399168,0.0710000000,0.0337837838,0.0096153846,7333
cxpb,0.4,8,0.0611399168,0.0710000000,0.0337837838,0.0096153846,8132
cxpb,0.4,9,0.0611399168,0.0710000000,0.0337837838,0.0096153846,8922
cxpb,0.4,10,0.0607399168,0.0705000000,0.0337837838,0.0096153846,9756
cxpb,0.4,11,0.0607399168,0.0705000000,0.0337837838,0.0096153846,10660
cxpb,0.4,12,0.0607399168,0.0705000000,0.0337837838,0.0096153846,11433
cxpb,0.4,13,0.0602777547,0.0695000000,0.0371621622,0.0096153846,12229
cxpb,0.4,14,0.0602777547,0.0695000000,0.0371621622,0.0096153846,13096
cxpb,0.4,15,0.0602777547,0.0695000000,0.0371621622,0.0096153846,13935
cxpb,0.4,16,0.0602155925,0.0690000000,0.0405405405,0.0096153846,14676
cxpb,0.4,17,0.0602155925,0.0690000000,0.0405405405,0.0096153846,15443
cxpb,0.4,18,0.0602155925,0.0690000000,0.0405405405,0.0096153846,16325
cxpb,0.4,19,0.0598777547,0.0690000000,0.0371621622,0.0096153846,17234
cxpb,0.4,20,0.0598777547,0.0690000000,0.0371621622,0.0096153846,18040
cxpb,0.4,21,0.0598777547,0.0690000000,0.0371621622,0.0096153846,18966
cxpb,0.4,22,0.0598777547,0.0690000000,0.0371621622,0.0096153846,19809
cxpb,0.4,23,0.0598777547,0.0690000000,0.0371621622,0.0096153846,20685
cxpb,0.4,24,0.0600912682,0.0680000000,0.0472972973,0.0096153846,21531
cxpb,0.4,25,0.0600912682,0.0680000000,0.0472972973,0.0096153846,22429
cxpb,0.4,26,0.0590777547,0.0680000000,0.0371621622,0.0096153846,23032
cxpb,0.4,27,0.0590777547,0.0680000000,0.0371621622,0.0096153846,23667
cxpb,0.4,28,0.0587399168,0.0680000000,0.0337837838,0.0096153846,24140
cxpb,0.4,29,0.0587399168,0.0680000000,0.0337837838,0.0096153846,24623
cxpb,0.4,30,0.0587399168,0.0680000000,0.0337837838,0.0096153846,25121
cxpb,0.4,31,0.0587399168,0.0680000000,0.0337837838,0.0096153846,25496
cxpb,0.4,32,0.0587399168,0.0680000000,0.0337837838,0.0096153846,25880
cxpb,0.4,33,0.0587399168,0.0680000000,0.0337837838,0.0096153846,26282
cxpb,0.4,34,0.0587399168,0.0680000000,0.0337837838,0.0096153846,26651
cxpb,0.4,35,0.0587399168,0.0680000000,0.0337837838,0.0096153846,27032
cxpb,0.4,36,0.0587399168,0.0680000000,0.0337837838,0.0096153846,27368
cxpb,0.4,37,0.0587399168,0.0680000000,0.0337837838,0.0096153846,27698
cxpb,0.4,38,0.0587399168,0.0680000000,0.0337837838,0.0096153846,28079
cxpb,0.4,39,0.0587399168,0.0680000000,0.0337837838,0.0096153846,28339
cxpb,0.4,40,0.0587399168,0.0680000000,0.0337837838,0.0096153846,28603
cxpb,0.4,41,0.0587399168,0.0680000000,0.0337837838,0.0096153846,28851
cxpb,0.4,42,0.0587399168,0.0680000000,0.0337837838,0.0096153846,29063
cxpb,0.4,43,0.0587399168,0.0680000000,0.0337837838,0.0096153846,29331
cxpb,0.4,44,0.0587399168,0.0680000000,0.0337837838,0.0096153846,29565
cxpb,0.4,45,0.0587399168,0.0680000000,0.0337837838,0.0096153846,29679
cxpb,0.4,46,0.0587399168,0.0680000000,0.0337837838,0.0096153846,29791
cxpb,0.4,47,0.0587399168,0.0680000000,0.0337837838,0.0096153846,29903
cxpb,0.4,48,0.0587399168,0.0680000000,0.0337837838,0.0096153846,30015
cxpb,0.4,49,0.0587399168,0.0680000000,0.0337837838,0.0096153846,30133
cxpb,0.4,50,0.0587399168,0.0680000000,0.0337837838,0.0096153846,30250
cxpb,0.4,51,0.0587399168,0.0680000000,0.0337837838,0.0096153846,30375
cxpb,0.4,52,0.0587399168,0.0680000000,0.0337837838,0.0096153846,30488
cxpb,0.4,53,0.0587399168,0.0680000000,0.0337837838,0.0096153846,30608
cxpb,0.55,0,0.0739939709,0.0820000000,0.0743243243,0.0096153846,1540
cxpb,0.55,1,0.0730426195,0.0825000000,0.0608108108,0.0096153846,2601
cxpb,0.55,2,0.0730426195,0.0825000000,0.0608108108,0.0096153846,3491
cxpb,0.55,3,0.0677534304,0.0780000000,0.0439189189,0.0096153846,4517
cxpb,0.55,4,0.0674155925,0.0780000000,0.0405405405,0.0096153846,5516
cxpb,0.55,5,0.0626777547,0.0725000000,0.0371621622,0.0096153846,6496
cxpb,0.55,6,0.0614777547,0.0710000000,0.0371621622,0.0096153846,7482
cxpb,0.55,7,0.0614777547,0.0710000000,0.0371621622,0.0096153846,8459
cxpb,0.55,8,0.0610777547,0.0705000000,0.0371621622,0.0096153846,9465
cxpb,0.55,9,0.0610777547,0.0705000000,0.0371621622,0.0096153846,10407
cxpb,0.55,10,0.0598777547,0.0690000000,0.0371621622,0.0096153846,11402
cxpb,0.55,11,0.0598777547,0.0690000000,0.0371621622,0.0096153846,12528
cxpb,0.55,12,0.0598777547,0.0690000000,0.0371621622,0.0096153846,13504
cxpb,0.55,13,0.0598777547,0.0690000000,0.0371621622,0.0096153846,14596
cxpb,0.55,14,0.0598777547,0.0690000000,0.0371621622,0.0096153846,15681
cxpb,0.55,15,0.0598777547,0.0690000000,0.0371621622,0.0096153846,16738
cxpb,0.55,16,0.0598777547,0.0690000000,0.0371621622,0.0096153846,17773
cxpb,0.55,17,0.0598777547,0.0690000000,0.0371621622,0.0096153846,18817
cxpb,0.55,18,0.0598777547,0.0690000000,0.0371621622,0.0096153846,19827
cxpb,0.55,19,0.0598777547,0.0690000000,0.0371621622,0.0096153846,20888
cxpb,0.55,20,0.0598777547,0.0690000000,0.0371621622,0.0096153846,21862
cxpb,0.55,21,0.0598777547,0.0690000000,0.0371621622,0.0096153846,22839
cxpb,0.55,22,0.0598777547,0.0690000000,0.0371621622,0.0096153846,23917
cxpb,0.55,23,0.0598777547,0.0690000000,0.0371621622,0.0096153846,24952
cxpb,0.55,24,0.0598777547,0.0690000000,0.0371621622,0.0096153846,25935
